,Hotel_Name,festac,Address,Cost,Property_type,Likes,Rating,Review
0,Casa Del Amor - VI,Victoria Island,"Victoria Island, Lagos - Oniru, Victoria Island","₦20,000",Apartment,268,NA,NA
1,Kitex Place ,Lekki Phase 1,"Lekki Phase 1, Lagos - No. 45 Jay Jay Oladimeji Off Freedom Way, Lekki Ph...","₦100,000",Apartment,38,NA,NA
2,Ibis Lagos Airport,Ajao Estate,"Ajao Estate, Lagos - 35/37 Murtala Mohamed Intl Airport Road","₦30,000",Hotel,31079,NA,NA
3,Adun Suites,Gbagada ,"Gbagada , Lagos - 9, Igbeyinadun Street Off Oguntona Crescent, Charl...","₦25,000",Hotel,107,NA,NA
4,Hotel Ibis Lagos Ikeja,Ikeja,"Ikeja, Lagos - 23 Toyin Street, Ikeja, Lagos","₦41,000",Hotel,25215,NA,NA
5,"The Cocoon Luxury Suites, Ogudu",Ogudu,"Ogudu, Lagos - 2B, Adebayo Ogunrombi Close Off Ogudu Road, Ogudu","₦25,000",Hotel,120,NA,NA
6,"The Moorhouse Hotel, Ikoyi",Ikoyi,"Ikoyi, Lagos - 1 Bankole Oki Street","₦56,000",Luxury Hotel,1234,7.2 Very Good,From 2 reviews
7,Beni Apartments,Victoria Island,"Victoria Island, Lagos - Plot 37 Ahmed Onibudo Street Off Adeola Hopewell","₦17,000",Hotel,15338,7.4 Very Good,From 145 reviews
8,Beni Hotels,Lagos Island,"Lagos Island, Lagos - 11/13 Wimo Onatere Street, Off Broad Street","₦12,000",Hotel,11051,7.3 Very Good,From 61 reviews
9,The Agore Hotels Ltd (Formerly Nowoola Palace Hotels And Suites), Ibeju Lekki," Ibeju Lekki, Lagos -  5, Nancy Nowoola Street, Behind Uba Pharmacy, Awo...","₦12,500",Hotel,436,NA,NA
10,Choice Suites (Formerly Chantella Suites),Ikeja,"Ikeja, Lagos - 3B, Allen Lane, Off Allen Avenue, Behind KFC, By D...","₦13,000",Budget Hotel,10376,7.4 Very Good,From 40 reviews
11,Extended Stay Grand Hotel,Lekki Phase 1,"Lekki Phase 1, Lagos - 21 Oladimeji Alo, Off Freedom Way Beside Canadian ...","₦20,000",Hotel,8817,7.7 Very Good,From 40 reviews
12,Axor Hotels And Suites,Lekki,"Lekki, Lagos - Plot 16/17 Sule Olusesi Road, Beside Conservation ...","₦23,000",Boutique Hotel,2227,NA,NA
13,Beni Gold Hotel And Apartments,Victoria Island,"Victoria Island, Lagos - 18 Adeleke Adedoyin Off Kofo Abayomi, Victoria-Isl...","₦30,000",Hotel,17663,7.8 Very Good,From 351 reviews
14,The Cocoon Luxury Suites Ilupeju,Ilupeju,"Ilupeju, Lagos - 16 Aina George Street, Off Coker Road, Ilupeju","₦18,000",Hotel,2662,NA,NA
15,Presken Hotel And Suites (Mojidi),Ikeja,"Ikeja, Lagos - 14/16 Mojidi Street, Off Toyin Street  POBox 14603...","₦20,000",Hotel,5138,7.0 Very Good,From 23 reviews
16,Whispering Palms Resort,Badagry,"Badagry, Lagos - Iworo","₦27,000",Resort,2604,NA,NA
17,DEMEG HOTEL AND SUITES,Ipaja,"Ipaja, Lagos - 2/2B Bola Sanyaolu Close, Akinyele Bustop, Ipaja","₦14,500",Hotel,134,NA,NA
18,Double M Exquisite Suites And Lounge,Lekki,"Lekki, Lagos -  9 Kazeem Abogun St, Off New Road Alpha Beach, Lek...","₦25,000",Hotel,3873,NA,NA
19,Perfect View Hotels Ltd (Formerly La Bugatti Suite Limited),Victoria Island,"Victoria Island, Lagos - 204B, Etim Inyang Crecsent","₦10,000",Hotel,1991,6.7 Very Good,From 29 reviews
20,Demiral Hotel At The Place Lekki,Lekki,"Lekki, Lagos - Plot 38 Block 10 Beside Fun Factory Admiralty Way","₦20,000",Hotel,5454,7.2 Very Good,From 30 reviews
21,Integrity Hotel And Suites, Victoria Island," Victoria Island, Lagos - 17, Agbagbon Close Off Ologun Agbaje Street, Off A...","₦15,999",Hotel,6682,6.3 Very Good,From 29 reviews
22,CitiHeight Hotel,Ikeja,"Ikeja, Lagos - No. 6 Sheraton-Opebi Link Road","₦26,500",Hotel,4970,NA,NA
23,Eko Hotel ,Victoria Island,"Victoria Island, Lagos - 1415 Adetokunbo Ademola Street","₦67,000",Luxury Hotel,5173,7.5 Very Good,From 35 reviews
24,Presken Hotel And Suites (Awolowo),Ikeja,"Ikeja, Lagos - 131 Obafemi Awolowo Way By Allen Avenue Round Abou...","₦20,000",Budget Hotel,4650,7.3 Very Good,From 24 reviews
25,Presken Hotel And Suites (GRA),Ikeja,"Ikeja, Lagos - 6, Remi Fani Kayode Avenue, G.R.A, Ikeja , Off Oba...","₦25,000",Hotel,6155,NA,NA
26,Jeromes Garden And Suites,Ikeja,"Ikeja, Lagos - 29, Oroleye Crescent, Off Abel Oreniyi Street, Off...","₦16,000",Hotel,9459,NA,NA
27,Vintage Suites,Surulere,"Surulere, Lagos - 15c, Akinhanmi Street, Off Funsho Williams Avenue,...","₦10,000",Budget Hotel,3402,7.3 Very Good,From 25 reviews
28,Dmatel Hotel And Resort ,Lekki,"Lekki, Lagos - 10 Agungi Road, Ajiran Off Lekki Expressway","₦20,000",Budget Hotel,4236,7.1 Very Good,From 68 reviews
29,BTT HOMES,Lekki Phase 1,"Lekki Phase 1, Lagos - Plot 36 Adebisi Ogunniyi Crescent. Off Visa Office...","₦30,000",Hotel,2329,7.9 Very Good,From 12 reviews
30,Handsworth Hotel Limited,Ajah,"Ajah, Lagos - 7/8 Young Arabamen Street Farm  Bus-stop Sangotedo...","₦11,500",Hotel,2184,6.3 Very Good,From 34 reviews
31,Lagos Oriental Hotel,Victoria Island,"Victoria Island, Lagos -  3 Lekki Road","₦92,000",Luxury Hotel,3860,NA,NA
32,Swiss Cottage Suites,Ikeja ,"Ikeja , Lagos -  18 Sunday Adigun Street Alausa Ikeja( Adjacent To...","₦17,500",Hotel,4535,NA,NA
33,"The Cocoon Luxury Suites, Gbagada",Gbagada,"Gbagada, Lagos - 6, Oguntona Crescent, Gbagada Phase 1 ","₦20,000",Budget Hotel,2724,NA,NA
34,Atlantic Palms Suites,Lekki,"Lekki, Lagos - 1, Abolakale Arikawe Drive, Off Alpha Beach New Ro...","₦20,000",Budget Hotel,2032,7.6 Very Good,From 13 reviews
35,Deke Hotel,Yaba,"Yaba, Lagos - Plot 79 Karimu Kotun Oyadiran Estate Sabo","₦5,500",Hotel,3719,6.0 Very Good,From 78 reviews
36,KnightsBridge Hotel,Ikeja,"Ikeja, Lagos - 9 Emina Crescent Off Toyin Street ","₦12,750",Hotel,2467,7.7 Very Good,From 34 reviews
37,Unilag Guest House,Yaba,"Yaba, Lagos - University Of Lagos Akoka ","₦15,000",Guest House,5820,6.0 Very Good,From 43 reviews
38,Presken Hotel And Suites (Airport),Oshodi,"Oshodi, Lagos - 50, International Airport Road, Ajao Estate Bussto...","₦25,000",Hotel,2350,NA,NA
39,Cosmic Guest House,Ikeja,"Ikeja, Lagos - 36a Olu-Akerele Street Balogun Bus Stop. Off Awolo...","₦5,000",Guest House,3360,NA,NA
40,Eastgate Lekki,Lekki,"Lekki, Lagos - 4, Dreamworld Africana Way Olugborogan Olusesi, Ch...","₦24,500",Hotel,3280,7.2 Very Good,From 23 reviews
41,Pearlwort Hotel And Suites,Ikeja,"Ikeja, Lagos -  Plot 7, Impressive Close, Off L.J. Dosunmu Street...","₦32,000",Hotel,1546,7.0 Very Good,From 6 reviews
42,Zeina Suites,Lekki,"Lekki, Lagos - 1, General Ogumodia Boulavard, Lekki Phase 1, Lekk...","₦20,000",Hotel,1332,7.1 Very Good,From 13 reviews
43,Villa Angelia Hotel,Ikoyi,"Ikoyi, Lagos - 2/7 Okunla Martins Close Off Okotie Eboh Street Of...","₦18,000",Hotel,3367,7.7 Very Good,From 14 reviews
44,D'Island Hotel ,Ajah,"Ajah, Lagos - 80, Addo Road Ajah, Akins Bus-Stop, Lekki-Ajah","₦7,000",Hotel,562,7.8 Very Good,From 12 reviews
45,Silver Grandeur Hotel,Ajao Estate,"Ajao Estate, Lagos - No. 4 Abgor Close Off Osolo Way.","₦9,800",Hotel,8391,7.7 Very Good,From 125 reviews
46,Lagos Airport Hotel,Ikeja,"Ikeja, Lagos - 111 Obafemi Awolowo Way Ikeja","₦28,000",Hotel,3430,6.3 Very Good,From 46 reviews
47,Preserve Apartment And Suite,Lekki Phase 1,"Lekki Phase 1, Lagos - 14, Babatunde Dabiri Street","₦20,000",Hotel,2212,7.7 Very Good,From 18 reviews
48,Hotel Bon Voyage,Victoria Island,"Victoria Island, Lagos - 57A, Marinho Drive, Off Ajose Adeogun Street","₦35,000",Luxury Hotel,3367,NA,NA
49,Villa Angelia Victoria Island ,Victoria Island,"Victoria Island, Lagos - 20 Oju Olobun Street, Off Bishop Oluwole Street, V...","₦25,000",Hotel,4457,7.2 Very Good,From 44 reviews
50,City View Hotel Ltd.,Ikeja,"Ikeja, Lagos - 1 Taiwo Close Off Kudirat Abiola Way Oregun","₦9,200",Hotel,3920,7.2 Very Good,From 39 reviews
51,Easy Homes Hotels,Surulere,"Surulere, Lagos - 33 Eric Moore Close Off Eric Moore Road","₦12,000",Budget Hotel,2013,7.0 Very Good,From 24 reviews
52,Peaceland Hotels Limited,Yaba ,"Yaba , Lagos - 1 Tokunboh Street, Sabo, Yaba. ","₦9,000",Hotel,1189,7.2 Very Good,From 12 reviews
53,Temple Cottage Hotel,Victoria Island,"Victoria Island, Lagos - Plot 323 Akin Ogunlewe Street Victoria Island Lago...","₦30,500",Hotel,739,NA,NA
54,The Blowfish Hotel,Victoria Island,"Victoria Island, Lagos - No. 20 Oju Olobun Street, Off Idejo Street, Victor...","₦60,000",Boutique Hotel,2591,NA,NA
55,"Msquare Hotel, Ikeja",Ikeja,"Ikeja, Lagos - 34B Remi Fani Kayode Avenue, GRA","₦21,500",Hotel,3916,NA,NA
56,Kings Celia Hotel And Suite,Yaba,"Yaba, Lagos - No 8 Jibowu Street ","₦25,000",Hotel,1485,NA,NA
57,Lantano Cottage,Ikeja,"Ikeja, Lagos - 4, Oduduwa Crescent GRA Ikeja.","₦15,000",Hotel,2452,NA,NA
58,TheoDawn Hotels( Formerly Suite 29),Ikeja,"Ikeja, Lagos - 29 Oluwaleyimu Street Off Allen Avenue","₦11,000",Hotel,2126,6.6 Very Good,From 14 reviews
59,Pelican International Hotel,Lekki,"Lekki, Lagos - By Chevron Roundabout, Chevy Estate, Lekki Lagos","₦15,000",Hotel,1918,7.8 Very Good,From 25 reviews
60,MarcoPolo Hotel ,Lekki,"Lekki, Lagos - 4, Yeni Crescent, Chevy View Estate, Opposite Chev...","₦30,000",Hotel,1310,7.6 Very Good,From 6 reviews
61,Coronia Hotel,Ajao Estate,"Ajao Estate, Lagos - No 2 In A Jegede Close Ajao Estate Lagos","₦25,000",Hotel,1483,7.2 Very Good,From 6 reviews
62,Festival Hotel Festac Lagos (Formerly Golden Tulip Festac Lagos),Festac,"Festac, Lagos - Amuwo Odofin Mile 2 Lagos, P.M.B 031","₦27,200",Hotel,1723,7.9 Very Good,From 24 reviews
63,Libra Hotels Ltd.,Ikeja,"Ikeja, Lagos - 1 Ramonu Oyedele Street,by Total Filling Station,O...","₦5,000",Hotel,1528,6.1 Very Good,From 24 reviews
64,Rita Lori Hotels Surulere,Surulere,"Surulere, Lagos - 1-4 Taoridi Street, Off Babs Animashaun Road","₦17,000",Hotel,2590,7.2 Very Good,From 38 reviews
65,Westwood Hotel Ikoyi,Ikoyi,"Ikoyi, Lagos - 22 Awolowo Road Ikoyi","₦30,000",Hotel,3468,7.4 Very Good,From 28 reviews
66,Mayhill Hotel,Lekki Phase 2,"Lekki Phase 2, Lagos - 12 Muritala Eletu Street, Osapa London, Lekki Phas...","₦35,000",Hotel,968,NA,NA
67,Maison Fahrenheit,Victoria Island,"Victoria Island, Lagos - 80, Ademola Adetokunbo Street, Opposite Eko Hotel","₦59,000",Hotel,2205,7.9 Very Good,From 10 reviews
68,Golden Destiny Hotel Limited,Ajao Estate,"Ajao Estate, Lagos - 6 Awoniyi Elemo Street, Off Osolo Way Off M/M Inte...","₦13,000",Hotel,1691,6.5 Very Good,From 32 reviews
69,Presken Hotel And Suites (K-One),Ikeja,"Ikeja, Lagos - 23 Sogunle Street, Off Mobolaji Bank Anthony Way A...","₦20,000",Hotel,2521,6.9 Very Good,From 12 reviews
70,Austasun Place ,Lekki Phase 1,"Lekki Phase 1, Lagos - 4 Emmanuel Adebayo Close Off Baderinwa Alabi Stree...","₦12,800",Hotel,1016,NA,NA
71,Lavalon Hotels And Suites,Ajah,"Ajah, Lagos - 11/13 Kolawole Adekunle St. (Opp Ecobank) Off Addo...","₦13,000",Hotel,1781,7.5 Very Good,From 40 reviews
72,Hotel C And M,Lekki,"Lekki, Lagos - 13,  Tolani Bakare Street, Abijoh Estate, Off Lekk...","₦5,000",Hotel,1090,7.0 Very Good,From 14 reviews
73,Peerage Retreat,Victoria Island,"Victoria Island, Lagos - 1, Olabode George Street,Off Ajose Adeogun Street","₦11,000",Hotel,2818,7.3 Very Good,From 41 reviews
74,Benny Hotels ,Festac,"Festac, Lagos - Plot 641 First Avenue","₦17,000",Hotel,1907,6.9 Very Good,From 23 reviews
75,The Hedge Suites,Victoria Island,"Victoria Island, Lagos - 194B Jide Oki Street Off Ligali Ayorinde Street, V...","₦20,000",Hotel,3237,7.4 Very Good,From 50 reviews
76,De Rembrandt Hotels And Suites,Ikeja,"Ikeja, Lagos - 172 Obafemi Awolowo Way","₦41,800",Hotel,2218,7.9 Very Good,From 27 reviews
77,New Travellers Lodge ,Iyana Ipaja,"Iyana Ipaja, Lagos - 161, Abeokuta Express Way, Beside Access Bank, Ara...","₦7,000",Lodge,1007,7.5 Very Good,From 12 reviews
78,Chadon Kitchen ,Maryland,"Maryland, Lagos - No. 10 Tiamiyu Olushile Street, Mende ","₦13,000",Hotel,1038,6.6 Very Good,From 16 reviews
79,Valley Front View Hotel,Ikeja,"Ikeja, Lagos - 7, Abiodun Close, Off Alabi Street, Off, Toyin St,...","₦25,000",Hotel,1012,NA,NA
80,Annes Luxury Suite,Victoria Island,"Victoria Island, Lagos - 243B, Muri Okunola Street, Victoria Island, Lagos","₦25,000",Hotel,2781,NA,NA
81,"Esporta Suites (Formerly Dupoint 71 Place), Lekki",Lekki,"Lekki, Lagos - Plot 71, Admiral Ayinla Way, 3rd Ikate Round About","₦15,500",Hotel,2908,6.4 Very Good,From 49 reviews
82,Glee Hotel,Victoria Island,"Victoria Island, Lagos - 287b Akin Olugbade St, Victoria Island","₦37,200",Hotel,1130,NA,NA
83,The W Hotel,Ikeja,"Ikeja, Lagos - 1, Oduduwa Crescent GRA, Ikeja, Lagos.","₦30,000",Hotel,828,NA,NA
84,Travel House Lekki,Lekki,"Lekki, Lagos - KM 14 Lekki-Epe Express Way (Between Chevron And V...","₦17,500",Hotel,2472,6.8 Very Good,From 94 reviews
85,Sunheaven Hotel And  Resorts ,Victoria Island,"VICTORIA ISLAND , Lagos - 191A, Adeleke Adedoyin Off Kofo Abayomi Street Vic...","₦33,000",Hotel,1170,NA,NA
86,Cumberland Hotel,Victoria Island,"Victoria Island, Lagos - 2/4 Adeola Odeku Street","₦19,720",Hotel,1533,NA,NA
87,Famoss Guest House,Lagos Island,"Lagos Island, Lagos - 59, Lawson Street, Off Melony Road ,Lagos Island.","₦4,000",Guest House,984,NA,NA
88,Divine Fountain Hotel,Victoria Island,"Victoria Island, Lagos - Plot 156, Prince Ade Odedina Street, Off Jide Oki ...","₦11,000",Hotel,3367,7.6 Very Good,From 39 reviews
89,Presken Hotel And Suites (Alade)     ,Ikeja,"Ikeja, Lagos - 17 Alade Avenue, Behind Jabita, Ikeja","₦20,000",Hotel,1338,NA,NA
90,"De Santos Hotel, Lagos",Akowonjo,"Akowonjo, Lagos - 7 Shasha Road, Akowonjo Roundabout, By Dopemu Over...","₦30,000",Hotel,2763,7.8 Very Good,From 22 reviews
91,"Limeridge Hotel, Lekki",Lekki,"Lekki, Lagos - Plot 10, Chevron Drive","₦22,500",Budget Hotel,5763,7.5 Very Good,From 100 reviews
92,"De Rigg Place, Surulere",Surulere,"Surulere, Lagos - 6, Alhaji Rafiu Shittu Street, Alaka Estate, Stadi...","₦20,000",Budget Hotel,2078,NA,NA
93,7th Heaven Hotels And Suite,Maryland,"Maryland, Lagos - No 11,Tunde Alabi Street,off Okey Okeke Drive, Aro...","₦11,000",Hotel,1576,6.7 Very Good,From 14 reviews
94,Grandvenice Transit Apartments,Ajao Estate,"Lagos/Ajao Estate, Lagos - 12 Fatai Irawo Street, Off International Airport R...","₦17,000",Apartment,1611,6.9 Very Good,From 11 reviews
95,Atican Beach Resort Hotel,Ajah,"Ajah, Lagos - Along Abraham Adesanya Estate Okun Ajah Town","₦18,000",Budget Hotel,1559,NA,NA
96,Villa Thirty Three,Lekki Phase 1,"Lekki Phase 1, Lagos - 33, Jay Jay Oladimeji Close, Off Freedom Way","₦28,000",Hotel,1732,6.9 Very Good,From 6 reviews
97,"Limeridge Hotels, Ikoyi",Ikoyi,"Ikoyi, Lagos - Plot 2, Block 12, Udi Street, Osborne Estate 1","₦35,000",Hotel,1334,NA,NA
98,Rollace Hotel ,Ajao Estate,"Ajao Estate, Lagos - 46 – 48 Awoniyi Elemo Street Off International A...","₦29,600",Hotel,268,NA,NA
99,November 5 Hotel,Ikeja,"Ikeja, Lagos - 23 Ogundana Street, Off Allen Avenue, Ikeja, Lagos","₦12,000",Budget Hotel,1412,NA,NA
100,"The Landmark Hotel And Beach Resort, V.I",Victoria Island,"Victoria Island, Lagos - 7th Floor, Landmark Towers,  5B, Water Corporation...","₦49,500",Hotel,2309,NA,NA
101,Topaz Lodge,Lekki Phase 1,"Lekki Phase 1, Lagos - 9, Ichie Chris Onyekwuluje Off Abike Animashaun","₦15,000",Boutique Hotel,2606,7.2 Very Good,From 33 reviews
102,The Snug,Yaba,"Yaba, Lagos - 30 Commercial Avenue, . Behind First Bank, Sabo, Y...","₦18,000",Hotel,1851,7.8 Very Good,From 39 reviews
103,Le Paris Continental Hotel,Lekki Phase 1,"Lekki Phase 1, Lagos - No 16a, Babatunde Dabiri Street, Off Akwuzu Street...","₦18,000",Hotel,1632,NA,NA
104,CLASS SUITES @ ELICRIS PLACE,Ikeja,"Ikeja, Lagos - 17A Church Street Off Salvation Road","₦13,200",Hotel,1265,NA,NA
105,Dublina Suites,Festac,"Festac, Lagos - 4th Avenue By G Close Festac ","₦14,000",Hotel,1014,6.3 Very Good,From 3 reviews
106,Lekki Heights Hotel,Lekki,"Lekki, Lagos - 1 General Ogomudia Boulevard, Off Babatunde Anjous...","₦25,000",Hotel,1366,7.8 Very Good,From 18 reviews
107,PRIMAL HOTEL & RESORT LTD.,Ikeja,"Ikeja, Lagos - No 4, Harold Shodipo Crescent, Off Joel Ogunaike, ...","₦25,000",Hotel,754,7.4 Very Good,From 15 reviews
108,D'luxx Villa And Suites ,Ajao Estate,"Ajao Estate, Lagos - 18-20,  Adekunle Akala Street, Off Fatai Irawo Str...","₦10,000",Hotel,415,6.9 Very Good,From 3 reviews
109,Oak Hotel,Festac,"Festac, Lagos - Plot 241 Festac Link Road, By Rasaki Junctio","₦5,000",Hotel,1987,6.2 Very Good,From 29 reviews
110,Blue Lodge Hotel,Ikeja,"Ikeja, Lagos - 9A Service Road By Catholic Church Of Ascension, M...","₦24,500",Hotel,1453,7.1 Very Good,From 7 reviews
111,Brus View Suites,Lekki,"Lekki, Lagos - 13 Adebayo Doherty Road, Road 14","₦25,000",Hotel,382,NA,NA
112,Ajaxbel Hotel ,Ajah,"Ajah, Lagos -  5, Hussanat Sanni Close Ogombo Eti-osa Lekki-Ajah","₦2,000",Hotel,1316,6.0 Very Good,From 11 reviews
113,Morning Side Suites And Spa,Victoria Island,"Victoria Island, Lagos - 200C Etim Inyang","₦28,000",Boutique Hotel,452,7.9 Very Good,From 4 reviews
114,Ellis Suites,Ojodu Berger,"Ojodu Berger, Lagos - 22/26 Oremeta Street, Ojodu Berger, Ikeja","₦16,663",Hotel,1580,7.7 Very Good,From 16 reviews
115,Shoregate Hotel,Ikeja GRA,"Ikeja GRA, Lagos - 29 Joel Ogunnaike ","₦60,000",Hotel,3376,NA,NA
116,Wood Peckers Hotel,Surulere,"Surulere, Lagos - 32, Bassie Ogamba Street, Adeniran Ogunsanya","₦19,500",Hotel,1297,NA,NA
117,De-Next Hotel ,Yaba,"Yaba, Lagos - 2 Wulemotu Ajoke Street, Chemist Bus Stop","₦7,000",Budget Hotel,1509,NA,NA
118,BENESTAR SUITES, Surulere," Surulere,Lagos, Lagos - 34 Tafawa Balewa Crescent.  Off Adeniran Ogusanya ...","₦15,000",Hotel,1115,7.4 Very Good,From 21 reviews
119,The Oak  (Emperors Place II) ,Victoria Island,"Victoria Island, Lagos - No 12, Balarabe Musa Crescent, Beside Apples And O...","₦14,950",Hotel,315,NA,NA
120,Choice Hospitality (Luxury Suites),Ikeja,"Ikeja, Lagos - No 5, Tiwalade Close, Off Bamisile Street, Off All...","₦15,000",Hotel,469,7.8 Very Good,From 5 reviews
121,Golden Tulip Essential Airport Hotel ,Mafoluku,"Mafoluku, Lagos - 42/44, Murtala Mohammed International Airport Road...","₦32,000",Luxury Hotel,3168,NA,NA
122,Our Home Suite Hotel,Ikeja,"Ikeja, Lagos - 70E Allen Avenue, By Nikky Africana Plaza Opposite...","₦14,000",Hotel,808,7.8 Very Good,From 10 reviews
123,La Campagne Tropicana,Lekki,"Lekki, Lagos - Ikegun Ibeju-Lekki Local Government Area, Epe Expr...","₦95,000",Resort,2052,6.1 Very Good,From 21 reviews
124,Apartment Royale Hotel And Suite,Ikeja,"Ikeja, Lagos - 4 Wole Ogunjimi Street Off Agbaoku Street ","₦25,900",Hotel,3397,7.5 Very Good,From 57 reviews
125,Serena Hotels And Suites ,Surulere,"Surulere, Lagos - 48 Asoge Street Cele/Okota Link Bridge Ijesha Suru...","₦12,000",Hotel,897,NA,NA
126,The Loft Hotel (Formerly Fahrenheit Loft),Victoria Island,"Victoria Island, Lagos - Plot 312, Akin Ogunlewe Street, Off Ligali Ayorind...","₦45,000",Hotel,1442,NA,NA
127,Angel Hospitality Services Ltd,Victoria Island,"Victoria Island, Lagos - 836, Adetokunbo Ademola Street, Victoria Island, L...","₦39,000",Hotel,919,NA,NA
128,Palazzo Dumont Hotel,Lekki,"Lekki, Lagos - Plot 24 Chevron Drive By Northern Foreshore Gate L...","₦33,000",Hotel,1005,7.7 Very Good,From 11 reviews
129,Fairmont Suites By Virgin Hospitality,Ajah,"Ajah, Lagos - 5 Oyedayo Olafisoye Close, Westwood Estate, Cele/L...","₦5,000",Hotel,1103,6.7 Very Good,From 29 reviews
130,NO 95 Suites ,Lekki,"Lekki, Lagos - 95 Omorinre Johnson ","₦20,000",Guest House,945,NA,NA
131,Cynarisso Hotel Limited.,Ajao Estate,"Ajao Estate, Lagos - 15/17 Kaara Street, Off Osolo Way, M/M Airport Roa...","₦15,000",Hotel,467,6.8 Very Good,From 9 reviews
132,Royal Jatoz Hotels,Ajao Estate,"Ajao Estate, Lagos - No 9, Rasmon Street, Off Osolo Way, Off Muritala M...","₦15,000",Hotel,2208,7.4 Very Good,From 4 reviews
133,Rosewood Residence Lagos,Ikoyi,"Ikoyi, Lagos - 113a Mainland Way Dolphin Estate Ikoyi","₦15,000",Hotel,728,7.9 Very Good,From 6 reviews
134,Diamond Hotel,Maryland,"Maryland, Lagos - 5 Okunfolami Street Anthony Village ","₦16,000",Hotel,715,NA,NA
135,BW Starfire Hotel Formerly (Best Western Starfire Hotel),Ikeja,"Ikeja, Lagos - 128, Joel Ogunnaike Street, G R A","₦30,800",Hotel,1810,NA,NA
136,Aquatic Suites And Lounge,Surulere ,"Surulere , Lagos - Oscar Abu Cr/ Yomi Oshikoya Cl , Budget House, Sur...","₦10,500",Hotel,921,NA,NA
137,Elegance Suites & Hotel (Formerly Ocean Suites),Gbagada,"Gbagada, Lagos - 1/3 Safuratu Sekoni Street Behind R-Jolad Hospital...","₦29,500",Hotel,1156,6.9 Very Good,From 26 reviews
138,Ellyxville Hotels,Lekki Phase 1,"Lekki Phase 1, Lagos - 8 African Lane, Off Admiralty Way.","₦35,000",Hotel,622,NA,NA
139,Topaz Luxury Suite,Lekki Phase 1,"Lekki Phase 1, Lagos - No. 15 Oluwole Street. Off Chief Collins Street","₦17,000",Hotel,2000,NA,NA
140,Paramount Luxury Serviced Apartment,Ikeja GRA,"Ikeja GRA, Lagos - 8 Ajisafe Street ,G.R.A, Ikeja","₦20,000",Apartment,994,6.2 Very Good,From 4 reviews
141,Bakky Fasal Guest House,Ketu,"Ketu, Lagos - 11 Bello Folawiyo Crescent, Ikosi, Ketu","₦6,600",Guest House,598,6.8 Very Good,From 9 reviews
142,The Bridge Lodge,Lekki,"Lekki, Lagos - Plot 3, Block 38 Yinka Bello Street, Off Admiralty...","₦15,000",Hotel,901,NA,NA
143,Watercress Hotels,Ikeja,"Ikeja, Lagos - 48 Oritse Street, Off Obafemi Awolowo Way ","₦50,000",Hotel,1249,NA,NA
144,Xgarden Hotel And Suites,Ebute Metta,"Ebute Metta, Lagos - 14, Ijero Street, Ebute Metta","₦8,000",Hotel,890,7.5 Very Good,From 8 reviews
145,Demiral Hotel At The Place Alausa,Ikeja,"Ikeja, Lagos - No 3 Kafi Street, Opposite Ikeja City Mall (Shopri...","₦12,000",Hotel,798,NA,NA
146,Oakland Suites ,Ikeja,"Ikeja, Lagos - 31, Ogundana Street, Off Allen Avenue Ikeja","₦12,000",Hotel,545,NA,NA
147,Demiral Hotel (The Place),Surulere,"Surulere, Lagos - 36, Adeniran Ogunsanya Street, Surulere","₦12,000",Hotel,748,7.9 Very Good,From 3 reviews
148,Tasko Crown Hotel,Lekki,"Lekki, Lagos - 19, Badore Road Ajah ","₦5,000",Hotel,830,NA,NA
149,Premiership  UK Suites,Ikeja ,"Ikeja , Lagos - 11 Akin Osiyemi Street, Off Allen Avenue","₦14,000",Hotel,763,NA,NA
150,Maxton Suites Annex Magodo (Formerly House 51 Guest House),Magodo,"Magodo, Lagos - 51 Association Avenue Shangisha Magodo Via CMD Roa...","₦8,000",Hotel,806,6.5 Very Good,From 7 reviews
151,POSH APARTMENT AND HOTEL OMOLE,Ojodu,"Ojodu, Lagos -  477A Omotunde Akinsola Street Omole Phase 1","₦13,500",Apartment,562,7.3 Very Good,From 4 reviews
152,Pacific Hotel And Suites 2,Alakuko,"Alakuko, Lagos - 105, Baale Animashaun Road Dalemo Bus Stop, Alakuk...","₦11,000",Budget Hotel,782,6.7 Very Good,From 7 reviews
153,"Queenset Guest House, Ikeja",Ikeja,"Ikeja, Lagos - No.38,Unity Road,off Toyin","₦4,500",Guest House,624,NA,NA
154,The Regent Luxury Suites,Ikeja,"Ikeja, Lagos - 25 Joel Ogunnaike Street","₦50,000",Hotel,2242,7.4 Very Good,From 13 reviews
155,Sabitex Hotel,Lekki,"Lekki, Lagos - KM 14, Lekki Epe Expressway","₦20,000",Hotel,614,NA,NA
156,Lekki Waterside Hotel,Lekki Phase 1,"Lekki Phase 1, Lagos - Plot 2B, Wole Olateju Cresent. Lekki Phase 1","₦35,000",Hotel,1604,NA,NA
157,Dawn Carrington Hotels & Suites (Formerly Ree-Danielles),Ojota,"Ojota, Lagos - 6 Emmanuel High Street Ogudu GRA","₦14,000",Budget Hotel,1459,6.0 Very Good,From 26 reviews
158,Alomars Lodge,Ikorodu,"Ikorodu, Lagos - 5/6 Rotimi Odusanya Street, Off Haruna Bustop.","₦5,000",Lodge,564,6.8 Very Good,From 8 reviews
159,Studio 21,Opebi Ikeja,"Opebi,Ikeja, Lagos - 21 Abel Oreniyi Street, Off Salvation Road, Opebi,...","₦10,000",Hotel,108,NA,NA
