,Hotel_Name,festac,Address,Cost,Property_type,Likes,Rating,Review
2560,Oti & Co Hotel & Suites,Victoria Island,"Victoria Island, Lagos - Plot 2/3, Abisogun Road Off Palace Road, Oniru Est...","₦258,840",Oti & Co Hotel & Suites,1,NA,NA
2561,Spring Villa,Ajah,"Ajah, Lagos - Eti-Osa, Lekki",NA,Hotel,1,NA,NA
2562,The Joel's Place,Ajah,"Ajah, Lagos - Block A, House No. 17 B, Ken Saro - Wiwa Close, Aj...",NA,The Joel's Place,1,NA,NA
2563,Grays Inn Hotel,Ajah,"Ajah, Lagos - Ogombo St, Aja, Lekki",NA,Hotel,1,NA,NA
2564,TRIPPLE 4 HOTELS,,", Lagos - ",NA,TRIPPLE 4 HOTELS,1,NA,NA
2565,Motherlode,,", Lagos - ",NA,Motherlode,1,NA,NA
2566,Gemini Place Apartments - Oniru,Victoria Island,"Victoria Island, Lagos - Flats 2,7 And 8, Plot 32, Chief Yesufu Abiodun Oni...","₦70,000",Apartment,2,NA,NA
2567,Caterers' Court,,", Lagos - ",NA,Caterers' Court,1,NA,NA
2568,Proof Hotel Abd Lounge,,", Lagos - ",NA,Proof Hotel Abd Lounge,1,NA,NA
2569,APLUS HOTEL AND SUITES,,", Lagos - ",NA,APLUS HOTEL AND SUITES,1,NA,NA
2570,Waterfield Apartments Magodo 3 Bedroom Duplex,,", Lagos - ",NA,Waterfield Apartments Magodo 3 Bedroom Duplex,1,NA,NA
2571,Waterfield Apartments Ogba 2 Bedroom Detached Bungalow,,", Lagos - ",NA,Waterfield Apartments Ogba 2 Bedroom Detached Bungalow,1,NA,NA
2572,Waterfield Apartments Magodo 4 Bedroom Duplex With Terrace,,", Lagos - ",NA,Waterfield Apartments Magodo 4 Bedroom Duplex With Terrace,1,NA,NA
2573,CRAVEN COTTAGE INN,Yaba,"Yaba, Lagos - 81a Ibikunle Street, Yaba ",NA,Hotel,1,NA,NA
2574,Caterers' Court,,", Lagos - ",NA,Caterers' Court,1,NA,NA
2575,FilmoRealty Caterers' Court,,", Lagos - ",NA,FilmoRealty Caterers' Court,1,NA,NA
